reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOF07FLDS46_CGbk64aFe7Ea3BHE6Q04kJZ0wYBxPNntGXV9UxBPUEXtpyywoiTzqThBlpuLuGzbIxuCcw,Chris Campbell,https://play-lh.googleusercontent.com/a-/AOh14GgXrXAIlgYBU_WNMUddoT6SZVwwGNm5bVocSinjPw,"App does upload files but fails to upload folders. Two stars for doing what the app should, (store files on the cloud). But this app does not go above or beyond. It does not even reach the most basic of tasks, to upload folders, (instead you must do it all by hand for each individual folder). Thanks for the reply! You addressed my tech problem but it didn't resolve it. Now I'm editing and deleted that portion. I want you to address why Google Drive doesn't upload folders while other apps do.",2,109,2.21.121.05.40,2021-04-13 01:43:33,"Hi, Chris. Let's connect you with our Support Team for help. Go here to get a call back: https://goo.gl/LcAuFy. Hope this helps!",2021-04-13 06:07:38
gp:AOqpTOFQBYm_Rc5YYvPzu4fa3I1sKJaGJmtgGYalyLQ5o9AvNeep70bp49xGssNexUOIpH-n_0ytJ__WpS5ewQ,Ryan Richardson,https://play-lh.googleusercontent.com/a-/AOh14Gjhr4lPNaBVMUi1O-ErEllbziUJORqPaZAaRjCg9Q,"I wish it uploaded my files. Seems like 30% of the time, my files just sit in ""waiting to upload"" status for days at a time until I finally give up and cancel them. This occurs regardless of wifi-only settings or connectivity. If I could rely on it to work when I need it to, it would be a solid five stars. Update: yes, I've tried different cell and wifi networks. I've deleted the cache. I've deleted all app data. I've restarted my phone. The only thing that works is un- and re-installing.",2,107,2.21.121.05.45,2021-04-11 00:58:59,"Hi, Ryan. Please check your internet connection by doing a Google search for 'internet speed test' as connection may be poor. Keep us updated! Also, have you tried to upload the file to Google Drive using a different network? Let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA.",2021-04-10 02:52:37
gp:AOqpTOFMlA_imqYABw4gIrII7hRcRGqYGdVKr1uN2pHAgg_u8Nu3Cu0RLKyQhLbzaw-WvqOXO4r1C5lcEZNO5Q,Bri,https://play-lh.googleusercontent.com/a-/AOh14GhSNlXefiS-SSnx2TA8rdFiu1UrKQ6gyrxcEcdR,I don't usually have issues with my accounts but I signed in to my gdrive only on another device to access a link for a service. It pulled through all my personal emails too; without acct notification or verification that it's me on a new device! I signed out of it and its still showing my emails on the other device. If I need to download Gdrive separately then surely Google shouldn't auto access my emails on here without my consent right? I removed the account but I shouldn't need to.,2,8,2.21.121.05.45,2021-04-11 14:06:01,,
gp:AOqpTOFOtpuiiAFdkj0QvrVO7hpA7WWjqFWl-9Rhqe_q0cUhDzf5ambUcuU0jtGbZxaOmjsfdbp3KhJKgB2mVw,JAY,https://play-lh.googleusercontent.com/a-/AOh14Gj3miX5n3HEMM-ucx83pnBAARbkYWH3IHlzjkvzEQ,Gdrive has become almost unusable for my org since there is almost no way to prevent any random Joe from sharing unsolicited files with you. There should be a feature where you can prevent this. A simple Share Block feature (picklist) would really help: 1) Prevent anyone one from sharing files with you 2) Only allow Google contacts to share files with you 3) Allow anyone to share files with me 4) Ask for my permission before a file is shared with me (which you can either Reject or Accept),2,4,2.21.121.05.40,2021-04-13 12:45:13,"Hi, Jay. Please report the files to remove them and help train our systems (https://goo.gle/2SwoC6B). We are constantly working to make our detection better and give users more options for managing the spam that sneaks through and thanks for the suggestion, you can also send it here: Google Drive app > Menu > Help & feedback > Send feedback.",2021-04-14 03:19:43
gp:AOqpTOG9ITcMYJhPfuPDLYpI2YrBiHaoWbhRAUFtpp-mvehqAya0BKlFytwUx0R_GKG7oeNmQ6M2AWmLlVMBCA,mazen shalab,https://play-lh.googleusercontent.com/-6bJ7RpYALxQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfn3w4oVrV5ZencCTnJO5HFnQX7Q/photo.jpg,"I can't use the app period. Whenever I try to launch the app it just keeps on loading indefinitely. I have tried uninstalling and reinstalling, data clearing, troubleshooting syncing, and I don't even remember what else. Nothing has worked. However sometimes it would load my files and folders but if try opening any of them they start loading indefinitely. For the past week I have not been able to use it on my s7 edge, but the app is working normally on my pc and iPad 8th gen.",2,25,2.21.101.06.45,2021-04-07 18:40:02,"Hi, Mazen. Let's connect you with our Support Team for help. Go here to get a call back: https://goo.gl/LcAuFy. Hope this helps!",2021-04-10 22:39:25
gp:AOqpTOHiRl4IozLsvIky_aBgGNoP8gJHfnq-KDUuw44GK9W5T0bKYdPWTM-PwdGe-ePBAh_2WkLyWmTr6f56Fw,j k,https://play-lh.googleusercontent.com/a-/AOh14GhoImJMTD0LWFligXUxM4h7d-cpzSh0G5pnVDJnQQ,Reasons why i gave 2 stars: 1. I don't know why but I can't upload certain files in any of my folders. Some files do but other take a while to do so (it's not in my internet connection) if i try it on my laptop(browser) it works there (even faster !). 2. The files and folders that I make and upload in my drive app (phone) doesn't appear in the browser(laptop). 3. I cannot share folders and files.It just loads and say error ! 4. When I change colors of the folder it doesn't work. pls fix it :c,2,175,2.21.101.06.45,2021-03-24 19:40:36,"Hi there. Can you try restarting both devices and Drive apps on both? Make sure you are also signed in to same account on both. Also, let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope these may help!",2021-03-26 02:02:22
gp:AOqpTOF3I6ZmKcYax7rcdmAECDJzhKTflxrBp9Fxr6_s2fwXo-wbX0dNb_sqyL_Cru7lVbmWGtymjxDkoDeznw,Sungkwang Jones,https://play-lh.googleusercontent.com/a-/AOh14Ggz4Yr92MVp5R_44hsCjs50M6MxHpl1Zarty-x7,"Great for storage, normally. But, ive been having a reccuring issue with certain files and documents unendingly saying that they're waiting to upload. I tried all the ""fixes"" i could find online, like restarting my phone, taking the settings off of upload on wifi only, or restarting the upload, but nothings worked. So, idk. Just. Needs fixing. **Its just a 2 page file. And it still wont update.",2,23,2.21.101.06.40,2021-03-25 17:24:18,"Hi, Sungkwang. Let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope this helps!",2021-03-26 23:17:00
gp:AOqpTOE5KbKcQtF9saOcLGcqmPLTMFaZQaI_X1Jp_HE8fuUy_SBFEuV04SsafNAEfG3hKf9wOat3ASvBDpPaCQ,Cassie Ramos,https://play-lh.googleusercontent.com/-0X65QUKEIyg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmD-Z3TFD5vR-TWaa2v78n_r6faRQ/photo.jpg,"Im having such hard time uploading my videos especially when space is too big. When its coming to the end of uploading its going back again and again when connection getting slow. Please improve that, this is the only app our school allowed to use for access. We badly needed the improvement when it comes to uploading. Please do something about that, please!",2,2,2.21.121.05.30,2021-04-13 07:44:53,"Hi, Cassie. Have you tried to upload the file to Google Drive using a different network? Hope this helps!",2021-04-14 03:29:06
gp:AOqpTOH2tWqCaQoPHdETu-ZUi1E2rg1TyuHoEHdJZ8fa1A-IdZpfi-vBd1TtPhNC5A88KwRaH2DQh3SyC8vgtw,Tahsinul Haque,https://play-lh.googleusercontent.com/a-/AOh14GhfbvJTEhYTsYFkEaQg6iG4q5stqoTZAHF9cXkzqg,Everything was fine but after the icon colour changing update they screwed everything. Only eighteen photo is taking hours to be uploaded!!! Edit : It's working fine if I upload One photo/file at a time but I can't upload them together that's where the problem begin. Edit 2: Cleared cache still same problem. Edit 3: Everything was ok but for somedays it’s doing the same problem taking very long time to upload a file and after uploading is finished the file won't open my data connection is fine,2,12,2.21.121.05.33,2021-04-10 12:47:58,"Hi again, Tahsinul. Let's connect you with our Support Team for help. Go here to get a call back: https://goo.gl/LcAuFy. Hope this helps!",2020-11-21 10:39:00
gp:AOqpTOHMjDrtV0b6IqvdFVSJ0pYAUQOG7H3TzL9d8IGAqkGtVbtpkZwAX5l3AK3Osf4bboAEu96xUonOecbE6A,Sunidhi Kushwaha,https://play-lh.googleusercontent.com/-H2mmFs6oV0Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucneDQwMD7AhBaripvUr9MXSl_a0uQ/photo.jpg,This app was working so good till last month and I could make my files available offline easily but now when I click on that option it just shows 'File will be made available offline' and starts buffering and it doesn't even show the notification of the download icon. It just buffers for some mins and doesn't download. I updated it also but nothing happened. HELP ME PLEASE!🙏,2,33,2.21.121.05.44,2021-04-07 10:09:13,"Hi, Sunidhi. Hmm. You may need to adjust your settings. Learn how to access Google Docs offline here: https://goo.gl/hlwfTO. Also, let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope these may help!",2021-04-09 04:34:08
