reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGcqsN36JwOfdjm8N7EP6iN2K67Yc12Fk-N0q8bv_NMRNstQa2N6wAdGfG1ZOCk4XssCLL3yeg9X_ZJrg,Andrew Benge,https://play-lh.googleusercontent.com/a-/AOh14GhNcwTBJcX34TAGPuttjohDVXG5lo6j2Orojxv-,"I have gotten so many unlockable spam messages through this in the last few days. There is no option to block messages from people you don't know. So, I have to just accept constant messages like ""secrate massage"" or ""screat.mesges"" all day. Googles reply below, is just block them. I have about 90 or so atm. Why not prevention? A setting that says ""no messages from people I don't know""? Why is this even a function of a file storage app? This is unhelpful.",1,157,2.21.121.05.45,2021-04-09 02:35:59,"Hi, Andrew. Let's connect you with our Support Team for help. Go here to get a call back: https://goo.gl/LcAuFy. Hope this helps!",2021-04-09 07:32:57
gp:AOqpTOER7_X1LFXiaORv3sl6HSvMo2Xee1wDX1si5QRebrx87HVVU2Y3nuqzyFp_5a_LZid_PmaigWZDriom9A,Farida Destiana,https://play-lh.googleusercontent.com/a-/AOh14GjEHc4Ev3TU-BGzTn9In6DAvWXLRnAP1nYPJnN-RQ,"I can't upload my files to drive, and it's so frustrating because it keeps loading from midnight and nothing happened at the next morning, I used the Android version. It just happened yesterday, last week I could upload the files normally, but yesterday was very frustrating, I keep turning on and off my mobile data and my device but it still doesn't change anything, and I updated the app into the latest version, and it doesn't change anything too, my drive still can't upload my files",1,91,2.21.121.05.44,2021-04-14 05:59:11,"Hi, Farida. Have you tried to upload the file to Google Drive using a different network? Hope this helps!",2021-04-14 19:45:11
gp:AOqpTOEg2x2J8paVEu9qyh1IPfjrmsWLgEPoVhCmx9jpU4FTvHFdals0yDtOA5pxjfI4dwrCb42E4qhSklX4hw,Dale G,https://play-lh.googleusercontent.com/a-/AOh14Gjm-VAuvbyfiBxDpMV6kgkd82jXKOWZuFLb3LWjog,"My Samsung Galaxy S8 will not backup with Google Drive. The Backup Now button is gray and all categories say they are waiting to backup. I can not backup my phone, Google Drive is useless. I have tried all of that and it did no good, I am still having the same problem. Thanks for trying to help. I have already uninstalled and reinstalled it and it did not help. I appreciate the help and advice.",1,116,2.21.101.06.45,2021-03-27 00:16:24,"Hi, Dale. Thanks for reaching out. This seems to be a device specific concern. For the best help, reach out to your device manufacturer. Hope this helps.",2021-03-27 01:12:27
gp:AOqpTOGztSU90Bg3Qm1xY-VLR03c9UBSA9uu7jAzqnAwiD5cfgs_j12VqEU0o28jbvSwl_9PuoVjwmJ0-2XEjg,Emma Shaw,https://play-lh.googleusercontent.com/a-/AOh14GhmnDpQGAkjh5pTjQrvUAJcLH9g1EuJJ0lazl7yNg,"When I open my google drive app, on any android divice or windows device, i get that this version is no longer supported and i need to upgrade. Well, I tried several times to upgrade and it just gives me the exact same app version I already have installed. Either fix the problem and remove the not supported notification, or get the play store fixed that the updated app is available. Luckly I can still add and view files that i have or need to download to the drive.",1,6,2.21.121.05.46,2021-04-12 16:11:08,"Hi, Emma. Could you try uninstalling and then reinstalling Drive app itself? Follow the steps here: https://goo.gle/2SoitJl. If this doesn't help, please visit our Community Forum for any additional assistance: https://goo.gl/DvMg7m.",2021-04-14 01:41:41
gp:AOqpTOGCCuIkesjES3_KbJi_mal4C2-bJ19IJwGJSCEckohYh8z4veKKzlWwTfccjVBHInbKmIQCjjuAizsPtg,Marzan Mohsin,https://play-lh.googleusercontent.com/a-/AOh14Gic-rjrrbGfN4TERW8lEkQag7wW4FKkBVPxv79u,"Is it just me or everyone else? Google Drive in my phone is such a mess.....It's having some serious issues. It's not letting me upload any files there. This bug didn't fix even after I reinstalled my Google Drive. The thumbnails keep scattered all over the page, in fact it doesn't even shows those. I used the website but it wasn't a good idea either. I can't even get sharable links to those files. Seems like it keeps getting worse after every updates. It is high time you need to fix all these.",1,213,2.21.101.06.40,2021-03-27 22:22:19,"Hi, Marzan. Let's connect you with our Support Team for help. Go here to get a call back: https://goo.gl/LcAuFy. Hope this helps!",2021-03-29 00:07:35
gp:AOqpTOFyK7Xh0wNr-do9p5hyEeJw06DLuFtKOmz3oy4ds-SYMnR6Xyj9Y8MbkpKTYVJ6SA6rqrqiiIOO1WrIPg,Jeimsu Junsu,https://play-lh.googleusercontent.com/a-/AOh14GiX5qqRo5lx1XEAQcmYa6td6hx1ImfAY8k3szVBkQ,"The reason for the 1 star is that it always malfunctions whenever I'm uploading my files. Those files are very important files and I couldn't be able to upload it properly. Sometimes it uploads just fine but most of the time it doesn't, which is frustrating, so I have to just use chrome version of it to really upload files. This is just a shame actually. Fix this problem",1,424,2.21.101.06.44,2021-03-28 13:49:23,"Hi, Jeimsu. Let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope this helps!",2021-03-28 22:42:03
gp:AOqpTOG2fbq86hCtBQraGsUcQKoqe9JnjzmGECQOeS1XDGxzGIpTVknI7WCKMxGwFu7CTGe-XtjLwD5sKQ02IA,A Rsson,https://play-lh.googleusercontent.com/a-/AOh14GgVzJuWjYolZRyw2mGf7tQ82huwObEMn88cOFTS,"It should be so much better if the option to download files without WiFi actually worked. As of now I don't have any option to download anything if I'm not on WiFi, despite the fact that I've unthicked the “download only on WiFi” option. Tried to solve the problem by clearing cache. Didn't change anything. And the worst thing is that I get totally different content using Google drive on two phones, one Google Pixel 2 and one Samsung Note 9. Same account of course.",1,57,2.21.101.06.40,2021-03-29 21:27:46,"Hi there. Can you try restarting both devices and Drive apps on both? Make sure you are also signed in to same account on both. Could you try uninstalling and then reinstalling Drive app itself? Follow the steps here: https://goo.gle/2SoitJl. If this doesn't help, please visit our Community Forum for any additional assistance: https://goo.gl/DvMg7m",2021-03-29 23:44:44
gp:AOqpTOE-UzKkxKvUXd-cbXYfmhgmYCH7hsmy217-A7fTpHubPcd1sG6ti1FII2CstfMmMaqEQag-O72AWPwUog,Brooklyn Crowe,https://play-lh.googleusercontent.com/-AJPOM6SGZfI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckr6sH0x1HHwQn7TBBCytcItUcguw/photo.jpg,I always have issues uploading documents. It will say the document is up loaded and I go to my pc and it isn't. If I try to upload more that a few documents most of them won't upload and its time consuming figuring out what uploaded and what did not. Update 4.6.21 I have cleared the cache and reinstalled and still have issues. Looking to switch to another application but know it's going to take even more time to move everything. Do not waste your time with Google drive storage.,1,18,2.21.121.05.40,2021-04-06 19:05:34,"Hi, Brooklyn. Let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope this helps!",2021-02-20 04:41:05
gp:AOqpTOHvtj-PF0IX16X20hbmfyOIaiOOiafeAw_NXbFKqrPVzl7UWWTO0NylfbewOKzR8CNSezIBi-ikvN46Dg,Blah Blah Co.,https://play-lh.googleusercontent.com/a-/AOh14GjszAjQ2eZ0CJI16bS1ySIWRYlf-tr8qH_VTFUdPw,"I use Google Drive for my business everyday. However, this rating is for the app which will not allow me to upload video worthing the past few weeks. It's really disappointing trying to send clients files on the road or when I don't have access to a laptop. I am trying right now at home on a 1GB Speed internet connection and it still says ""waiting to upload"". 1 star right now until fixed.",1,0,2.21.121.05.40,2021-04-14 03:41:22,"Hi there. Let's try resetting the app data. More info here (see ""Clear the app's cache"" section): https://goo.gl/gX7ctA. Hope this helps!",2021-04-14 05:30:50
gp:AOqpTOFqaXfPcPBf_JT_pjK1LbJfVYeTj0FTAMcMpTcxM1imfQnFckRBI1M-tdxxg4B8YT1vmjGoLTIJuE76QA,Judy Whitford,https://play-lh.googleusercontent.com/-SG-99ORUeKY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjj--C2BjkylMVahuhRgptqgQcsg/photo.jpg,"I tried to use this app again by installing it. I like to stay with google apps as much as possible. But, I have never been as frustrated with anything ever. When you reinstall it of course all the stuff is right there that made you uninstall it before. The more I tried to remove old useless shared files the more came up. I did exactly what it said to do. Except install more apps that make this one work better. Then you need to uninstall the ones you don't use much. It can DRIVE you koo-koo🤔😱",1,862,2.21.101.06.30,2021-04-06 14:15:53,"Hi, Judy. Check this handy guide on how to remove files that has been share with you: https://goo.gle/2uS8HFN. Hope this helps.",2020-07-26 22:40:35
